Word,Hinglish Translation
trackpants,traik paint
stoles,stolais
mehendi,mehandee
burnt,jala hua
olivce,jaitoon
glass,kaanch
polishes,polish
tencel,tainchail
sultan,sulataan
flamingo,maraal
blazers,blezar
raven,kaala kaua
alpine,alpain
confetti,kamfeddee
pieces,tukade
mangoyellow,mangoyaillow
gemstones,ratn
shaper,shepar
sports,khel
medium,madhyam
all,sab
primrose,halake peele rang ka
magnata,taikoon
geo,bhoo
snow,himapaat
nightwear,raat
notebook,smaran pustak
nailhead,naakhoon sir
nosepins,nosaipins
up,yoopee
nautical,samudree
purses,pars
optic,optik
ramagreen,ramagraiain
nantucket,nantuchkait
camisole,angiya
sweater,svetar
mint,jaisa
espresso,vyakt
coasters,kostar
chartreuse,shaatrez
chocolatebrown,chokaletee bhoora
vermillion,vairmillion
rustic,dehaatee
gyellow,peela
blended,mishrit
wayfarer,pathik
chinese,cheenee
prep,prastut karane ka
chilli,chillee
algae,shaivaal
blacka,blachk
bronw,peetal
directoire,nirdeshika
stylised,shaileekrt
tangail,taingail
care,kaun kaun se
malibu,maalibu
laptop,laipatop
nero,kaalee
new,naya
sapphire,neelam
mulricoloured,saarang
slipcovers,slipchovairs
choco,choko
tiered,tiairaid
kurtas,kurta
churidars,churidarsh
rblue,rbluai
scraped,skrep kee gaee
almond,baadaam
bean,sem
fuschsia,phyooshiya
tannin,taneen
poplin,paanpaleen kapada
partially,aanshik roop se
religious,dhaarmik
TRUE,sach
ruby,maanik
musturd,sarason
muiticoloured,saarang
bathroom,baatharoom
beauty,sundarata
lurex,luraix
semi,arddh
abstract,saar
loose,dheela
charcol,chharchol
rise,vrddhi
school,skool
back,vaapas
phone,fon
gry,khel
flare,chamak
raincoats,renakot
mushroom,masharoom
begie,baigiai
silvertoned,silvairtonaid
tobacco,tambaakoo
colour,rang
fold,tah
pillow,takiya
culottes,jaanghiya
rust,jang
reds,laal
natural,praakrtik
blushpink,gulaabee rang ka
seaweed,samudree sivaar
eclipse,grahan
sweet,mithaee
tones,tan
blazer,rangeen jaaket
militery,sainy
chanderi,chanderee
fourth,chautha
crystals,kristal
laptops,laipatop
tonned,tonnaid
sneakers,sneekars
briefs,kachchha
scarlet,laal
smoked,smokd
dk,minat
fit,phit
minaudiere,minaudiairai
brazillian,braazeeliyaee
pyjama,paajaama
duffel,duffail
lipstick,lipastik
ucla,yooseeele
multicolour,bahuranga
multicoloureed,saarang
electric,bijalee
dyed,saarang
splatter,chheente
cloud,baadal
jewellery,aabhooshan
mousse,jhaag
yelllow,yailllow
bllack,kaalee
ashy,asahay
sulphur,gandhak
extra,atirikt
lacquer,laah
oiive,jaitoon
met,saath mein
moore,moor
muti,myootee
british,angrejon
serenity,shaanti
nay,ab se
calf,gaay ka bachcha
moccasins,mokaasin
trekking,traiking
patent,petent
handloom,hathakaragha
men,parantu
servant,naukar
of,ka
gels,jail
lichen,kaee
cushions,kushan
blaack,blaachk
jamevar,jamavaar
slides,slaid
gray,dhoosar
copper,taamba
whie,saphed
platinum,plaitinam
purples,bainganee
necklaces,haar
aloha,aloh
beoge,bej
cup,kap
holder,dhaarak
iron,loha
teaberry,taiabairry
blak,kaalee
lightgrey,halka bhoora rang
butter,makkhan
spice,chaat masaala
mullticoloured,saarang
pillows,takie
creams,kreem
velour,vailor
around,chaaron or
placemats,mait
whte,saphed
sunshine,dhoop
blie,bliai
houses,makaanon
whtie,saphed
saint,sant
moon,chaand
spectra,spektra
bralettes,bralaittais
on,par
tie,guloband
gree,graiai
azure,neela
sartho,byaaj
burgendy,baragandee
beetle,bhrng
re,phir se
tools,upakaran
lea,ven
lycra,laikra
royal,raajasee
puzzle,pahelee
swimwear,svimaviyar
nugget,sone ka dala
multicolourd,saarang
princess,raajakumaaree
bedsheets,chaadare
iwhite,saphed
ramie,haath
short,kam
multi,bahu
stucco,plaastar
neavy,tum nahin
fawn,halake peele rang ka
parrot,tota
concrete,thos
melba,mailb
twilight,saanjh
runners,dhaavakon
thyme,ajavaayan ke phool
heather,heeth
mazarine,gahare neele rang ka
trackers,traikar
ring,angoothee
shift,khisak jaana
stackable,stachkablai
